,Links,Title,Details,Price,Rating
34,https://www.airbnb.co.in//rooms/689332356756272637?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Apartment in Honolulu,Royal Garden Waikiki Resort Studio Unit,"₹14,761 per night",New
35,https://www.airbnb.co.in//rooms/50178892?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Campervan/Motorhome in Hauula,Heihei -  A Stealth Campervan,"₹10,983 per night",4.9
36,https://www.airbnb.co.in//rooms/50794396?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Guest house in Honolulu,Newly Built and Modern 2-Bedroom House!,"₹27,332 per night",4.2
37,https://www.airbnb.co.in//rooms/707125556209831564?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Apartment in Honolulu,Waikiki BeachWalk 1 Bedroom,"₹18,765 per night",New
38,https://www.airbnb.co.in//rooms/633657976649430653?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Home in Honolulu,Cheerful 2 Bedroom Guesthouse with Free Parking,"₹32,066 per night",4.8
39,https://www.airbnb.co.in//rooms/635486890330960153?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Home in Honolulu,Newly Renovated 3 bedroom 2 bathroom in Hawaii Kai,"₹54,670 per night",5
40,https://www.airbnb.co.in//rooms/35654844?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Shared room in Waianae,NEAR TROPICAL BLUE OCEAN AND SANDY BEACH,"₹9,964 per night",4.4
41,https://www.airbnb.co.in//rooms/54206860?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Apartment in Honolulu,Chic 1 bedroom with City Views!🏙,"₹25,199 per night",New
42,https://www.airbnb.co.in//rooms/710810999865458864?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Resort in Kapolei,"Beautiful Resort 1 Bedroom, Marriott Ko Olina","₹45,346 per night",New
43,https://www.airbnb.co.in//rooms/4614657?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Private room in Honolulu,Hawaiian Zen Sanctuary  Private Room in Hawaii Kai,"₹18,450 per night",New
44,https://www.airbnb.co.in//rooms/39533013?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Hotel room in Honolulu,Gold Corner Studio,"₹14,758 per night, originally ₹16,398",4.2
45,https://www.airbnb.co.in//rooms/707935018471017004?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Private room in Honolulu,"Relax, recharge and refresh, the Kohola room.","₹10,063 per night",New
46,https://www.airbnb.co.in//rooms/38903944?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Hotel room in Honolulu,Hotel La Croix Kitchenette - Newly Renovated,"₹16,901 per night",4.5
47,https://www.airbnb.co.in//rooms/13960740?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Home in Honolulu,HI-VIBE Hawaiian Haven,"₹42,974 per night, originally ₹49,332",4.9
48,https://www.airbnb.co.in//rooms/590623482839256873?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Home in Hauula,AMAZING HAUULA OCEANFRONT ESCAPE!!,"₹59,448 per night",4.6
49,https://www.airbnb.co.in//rooms/695676203238734507?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Cottage in Hauula,Luxury Oceanfront  Cottage w/Private Beach Access,"₹54,204 per night",New
50,https://www.airbnb.co.in//rooms/47784933?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Campervan/Motorhome in Honolulu,Sunset Mercedes Sprinter Vanlife,"₹9,131 per night",4.4
51,https://www.airbnb.co.in//rooms/25270892?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Home in Honolulu,Perfect Family Home Located in Honolulu,"₹27,332 per night",4.5
52,https://www.airbnb.co.in//rooms/13100450?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Flat in Honolulu,"1207R-  HUGE Balcony! Quiet,Views!!","₹29,489 per night",4.4
53,https://www.airbnb.co.in//rooms/40992274?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Apartment in Honolulu,Superior one bedroom suite in the heart of Waikiki,"₹27,304 per night",4.8
54,https://www.airbnb.co.in//rooms/38100141?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Hotel room in Honolulu,"Ocean View King Bed, Hotel Renew","₹18,464 per night, originally ₹20,745",3.8
55,https://www.airbnb.co.in//rooms/34622213?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Private room in Honolulu,Skyline Views! Work-From-Home Oasis!,"₹7,320 per night, originally ₹8,028",4.8
56,https://www.airbnb.co.in//rooms/29180761?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Guest suite in Honolulu,"2 Bedroom Kahala Cottage, Sleeps 6","₹29,630 per night",4.6
57,https://www.airbnb.co.in//rooms/611668448797208293?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Guest suite in Laie,Spacious 1-bedroom place suitable to your stay,"₹19,952 per night",4.4
58,https://www.airbnb.co.in//rooms/46261950?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Apartment in Kapolei,Ko Olina Luxurious 2 Bedroom 2 Bath Beach Villa,"₹60,440 per night",4.8
59,https://www.airbnb.co.in//rooms/48302077?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Apartment in Honolulu,Largest lanai and outdoor space in Waikiki,"₹34,009 per night",4
60,https://www.airbnb.co.in//rooms/673356498614732325?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Apartment in Honolulu,BEAUTIFUL STUDIO ROYAL GARDEN AT WAIKIKI HONOLULU,"₹22,640 per night",New
61,https://www.airbnb.co.in//rooms/21519013?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Home in Honolulu,Plumeria house in trendy & quaint Kaimuki,"₹68,922 per night",4.9
62,https://www.airbnb.co.in//rooms/655715662706326716?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Flat in Honolulu,Waikiki Beachwalk 2 Bedroom,"₹36,416 per night",New
63,https://www.airbnb.co.in//rooms/40309506?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Hotel room in Honolulu,"City View, 2 Twins or 1 Queen Bed","₹24,557 per night",4.3
64,https://www.airbnb.co.in//rooms/635362017774664628?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Flat in Honolulu,Waikiki Beachwalk Resort 1 Bedroom,"₹18,778 per night",New
65,https://www.airbnb.co.in//rooms/38905277?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Hotel room in Honolulu,Luxury Direct Ocean View Terrace One King Bed,"₹28,742 per night",4.6
66,https://www.airbnb.co.in//rooms/36967870?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Private room in Honolulu,Peaceful Sunset/City Views in Downtown Skyrise!,"₹7,559 per night",4.7
67,https://www.airbnb.co.in//rooms/676685557292847488?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Flat in Honolulu,BEAUTIFUL STUDIO ROYAL GARDEN AT WAIKIKI HONOLULU,"₹22,640 per night",New
68,https://www.airbnb.co.in//rooms/50667593?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Guest suite in Honolulu,"2 Bed Kahala Cottage, Sleeps 6, 10mins to Waikiki","₹27,207 per night",New
69,https://www.airbnb.co.in//rooms/673992178353029126?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Apartment in Honolulu,GORGEOUS STUDIO ROYAL GARDEN AT WAIKIKI!!,"₹22,640 per night",New
70,https://www.airbnb.co.in//rooms/34367808?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Private room in Honolulu,Downtown/Ocean Views Private Master BR,"₹7,184 per night, originally ₹7,878",4.6
71,https://www.airbnb.co.in//rooms/605637123474404138?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Flat in Kapolei,Marriott Ko Olina Beach Club Oahu - Studio Unit 2!,"₹38,906 per night",5
72,https://www.airbnb.co.in//rooms/553808903536290715?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Hotel room in Honolulu,Bedroom Suite,"₹17,828 per night",3.6
